NAME                                       VERSION           TYPE                     
@aws-sdk/checksums                         3.1000.23         npm                       
@aws-sdk/client-s3                         3.1098.0          npm                       
@aws-sdk/core                              3.977.3           npm                       
@aws-sdk/credential-provider-env           3.972.64          npm                       
@aws-sdk/credential-provider-http          3.972.66          npm                       
@aws-sdk/credential-provider-ini           3.973.9           npm                       
@aws-sdk/credential-provider-login         3.972.71          npm                       
@aws-sdk/credential-provider-node          3.972.75          npm                       
@aws-sdk/credential-provider-process       3.972.64          npm                       
@aws-sdk/credential-provider-sso           3.973.8           npm                       
@aws-sdk/credential-provider-web-identity  3.972.70          npm                       
@aws-sdk/lib-storage                       3.1098.0          npm                       
@aws-sdk/middleware-sdk-s3                 3.972.69          npm                       
@aws-sdk/nested-clients                    3.997.38          npm                       
@aws-sdk/signature-v4-multi-region         3.996.43          npm                       
@aws-sdk/token-providers                   3.1098.0          npm                       
@aws-sdk/types                             3.974.2           npm                       
@aws-sdk/xml-builder                       3.972.37          npm                       
@aws/lambda-invoke-store                   0.3.0             npm                       
@borewit/text-codec                        0.2.2             npm                       
@canvas/image-data                         1.1.0             npm                       
@colors/colors                             1.6.0             npm                       
@dabh/diagnostics                          2.0.8             npm                       
@emnapi/runtime                            1.11.3            npm                       
@epic-web/invariant                        1.0.0             npm                       
@gar/promise-retry                         1.0.3             npm                       
@img/colour                                1.1.0             npm                       
@img/sharp-libvips-linux-x64               1.3.2             npm                       
@img/sharp-libvips-linuxmusl-x64           1.3.2             npm                       
@img/sharp-linux-x64                       0.35.3            npm                       
@img/sharp-linuxmusl-x64                   0.35.3            npm                       
@img/sharp-wasm32                          0.35.3            npm                       
@isaacs/fs-minipass                        4.0.1             npm                       
@isaacs/string-locale-compare              1.1.0             npm                       
@my-scope/package-a                        0.0.0             npm                       
@my-scope/package-b                        0.0.0             npm                       
@npmcli/agent                              4.0.0             npm                       
@npmcli/arborist                           9.4.2             npm                       
@npmcli/config                             10.8.1            npm                       
@npmcli/fs                                 5.0.0             npm                       
@npmcli/git                                7.0.2             npm                       
@npmcli/installed-package-contents         4.0.0             npm                       
@npmcli/map-workspaces                     5.0.3             npm                       
@npmcli/metavuln-calculator                9.0.3             npm                       
@npmcli/name-from-folder                   4.0.0             npm                       
@npmcli/node-gyp                           5.0.0             npm                       
@npmcli/package-json                       7.0.5             npm                       
@npmcli/promise-spawn                      9.0.1             npm                       
@npmcli/query                              5.0.0             npm                       
@npmcli/redact                             4.0.0             npm                       
@npmcli/run-script                         10.0.4            npm                       
@otplib/core                               12.0.1            npm                       
@otplib/plugin-crypto                      12.0.1            npm                       
@otplib/plugin-thirty-two                  12.0.1            npm                       
@otplib/preset-default                     12.0.1            npm                       
@otplib/preset-v11                         12.0.1            npm                       
@sailshq/binary-search-tree                0.2.8             npm                       
@sailshq/csurf                             1.11.1            npm                       
@sailshq/lodash                            3.10.7            npm                       
@sailshq/nedb                              1.8.4             npm                       
@sailshq/router                            1.3.11            npm                       
@sigstore/bundle                           4.0.0             npm                       
@sigstore/core                             3.2.0             npm                       
@sigstore/protobuf-specs                   0.5.0             npm                       
@sigstore/sign                             4.1.1             npm                       
@sigstore/tuf                              4.0.2             npm                       
@sigstore/verify                           3.1.0             npm                       
@smithy/core                               3.31.1            npm                       
@smithy/credential-provider-imds           4.4.16            npm                       
@smithy/fetch-http-handler                 5.6.13            npm                       
@smithy/node-http-handler                  4.9.13            npm                       
@smithy/signature-v4                       5.6.12            npm                       
@smithy/types                              4.16.1            npm                       
@so-ric/colorspace                         1.1.6             npm                       
@socket.io/component-emitter               3.1.2             npm                       
@socket.io/component-emitter               UNKNOWN           npm     (+1 duplicate)    
@tokenizer/inflate                         0.4.1             npm                       
@tokenizer/token                           0.3.0             npm                       
@tufjs/canonical-json                      2.0.0             npm                       
@tufjs/models                              4.1.0             npm                       
@types/cors                                2.8.19            npm                       
@types/node                                26.1.2            npm                       
@types/triple-beam                         1.3.5             npm                       
@types/ws                                  8.18.1            npm                       
@yarnpkg/lockfile                          1.1.0             npm                       
Simple Launcher                            1.1.0.14          binary  (+5 duplicates)   
abbrev                                     4.0.0             npm                       
accepts                                    1.3.8             npm                       
acl-libs                                   2.3.2-r1          apk                       
ada-libs                                   3.3.0-r0          apk                       
agent-base                                 7.1.4             npm                       
alpine-baselayout                          3.7.2-r1          apk                       
alpine-baselayout-data                     3.7.2-r1          apk                       
alpine-keys                                2.6-r0            apk                       
alpine-release                             3.24.1-r0         apk                       
anchor                                     1.4.2             npm                       
ansi-styles                                3.2.1             npm     (+4 duplicates)   
ansi-styles                                4.3.0             npm                       
apk-tools                                  3.0.7-r0          apk                       
apprise                                    1.9.7             python                    
aproba                                     2.1.0             npm                       
archy                                      1.0.0             npm                       
array-flatten                              1.1.1             npm                       
array-flatten                              3.0.0             npm                       
asap                                       1.0.0             npm                       
async                                      0.2.10            npm                       
async                                      0.9.2             npm                       
async                                      2.6.4             npm     (+1 duplicate)    
async                                      3.2.6             npm     (+1 duplicate)    
balanced-match                             1.0.2             npm     (+1 duplicate)    
balanced-match                             4.0.4             npm     (+1 duplicate)    
base64-js                                  1.5.1             npm                       
base64id                                   2.0.0             npm                       
bash                                       5.3.9-r1          apk                       
baz                                        UNKNOWN           npm                       
bcrypt                                     6.0.0             npm                       
bin-links                                  6.0.0             npm                       
binary-extensions                          3.1.0             npm                       
binaryextensions                           6.11.0            npm                       
bluebird                                   3.2.1             npm                       
body-parser                                1.20.6            npm                       
bowser                                     2.14.1            npm                       
brace-expansion                            1.1.18            npm                       
brace-expansion                            2.1.4             npm                       
brace-expansion                            5.0.4             npm                       
brace-expansion                            5.0.9             npm                       
braces                                     3.0.3             npm                       
brotli-libs                                1.2.0-r1          apk                       
browser_field                              UNKNOWN           npm                       
buffer                                     5.6.0             npm                       
